game_date,home_team,away_team,actual_margin,home_weighted_margin,away_weighted_margin,home_weighted_win_pct,away_weighted_win_pct,home_recent_10_win_pct,away_recent_10_win_pct,home_weighted_points_for,away_weighted_points_for,home_weighted_points_against,away_weighted_points_against,home_weighted_point_diff,away_weighted_point_diff,home_recent_margin_3,home_recent_margin_5,home_recent_margin_10,away_recent_margin_3,away_recent_margin_5,away_recent_margin_10,home_recent_win_pct_3,home_recent_win_pct_5,away_recent_win_pct_3,away_recent_win_pct_5,home_recent_points_for_5,home_recent_points_against_5,away_recent_points_for_5,away_recent_points_against_5,rest_diff,home_b2b,away_b2b,home_games_played,away_games_played,market_spread
2025-10-24,Orlando Magic,Atlanta Hawks,-4,4.0,-20.0,1.0,0.0,1.0,0.0,125.0,118.0,121.0,138.0,4.0,-20.0,4.0,4.0,4.0,-20.0,-20.0,-20.0,1.0,1.0,0.0,0.0,125.0,121.0,118.0,138.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-25,LA Clippers,Phoenix Suns,27,-21.0,4.0,0.0,1.0,0.0,1.0,108.0,120.0,129.0,116.0,-21.0,4.0,-21.0,-21.0,-21.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,108.0,129.0,120.0,116.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-25,New Orleans Pelicans,San Antonio Spurs,-4,-6.0,33.0,0.0,1.0,0.0,1.0,122.0,125.0,128.0,92.0,-6.0,33.0,-6.0,-6.0,-6.0,33.0,33.0,33.0,0.0,0.0,1.0,1.0,122.0,128.0,125.0,92.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-24,Brooklyn Nets,Cleveland Cavaliers,-7,-19.0,-8.0,0.0,0.0,0.0,0.0,117.0,111.0,136.0,119.0,-19.0,-8.0,-19.0,-19.0,-19.0,-8.0,-8.0,-8.0,0.0,0.0,0.0,0.0,117.0,136.0,111.0,119.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-25,Sacramento Kings,Utah Jazz,1,-4.0,21.0,0.0,1.0,0.0,1.0,116.0,129.0,120.0,108.0,-4.0,21.0,-4.0,-4.0,-4.0,21.0,21.0,21.0,0.0,0.0,1.0,1.0,116.0,120.0,129.0,108.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-24,Toronto Raptors,Milwaukee Bucks,-6,20.0,13.0,1.0,1.0,1.0,1.0,138.0,133.0,118.0,120.0,20.0,13.0,20.0,20.0,20.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,138.0,118.0,133.0,120.0,1,0.0,0.0,1.0,1.0,0.0
2025-10-24,New York Knicks,Boston Celtics,10,8.0,-1.0,1.0,0.0,1.0,0.0,119.0,116.0,111.0,117.0,8.0,-1.0,8.0,8.0,8.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,119.0,111.0,116.0,117.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-25,Dallas Mavericks,Washington Wizards,-10,-33.0,-13.0,0.0,0.0,0.0,0.0,92.0,120.0,125.0,133.0,-33.0,-13.0,-33.0,-33.0,-33.0,-13.0,-13.0,-13.0,0.0,0.0,0.0,0.0,92.0,125.0,120.0,133.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-25,Memphis Grizzlies,Miami Heat,-32,6.0,-4.0,1.0,0.0,1.0,0.0,128.0,121.0,122.0,125.0,6.0,-4.0,6.0,6.0,6.0,-4.0,-4.0,-4.0,1.0,1.0,0.0,0.0,128.0,122.0,121.0,125.0,-1,0.0,0.0,1.0,1.0,0.0
2025-10-25,Portland Trail Blazers,Golden State Warriors,20,-4.0,6.0,0.0,1.0,0.0,1.0,114.0,137.0,118.0,131.0,-4.0,6.0,-4.0,-4.0,-4.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,114.0,118.0,137.0,131.0,1,0.0,0.0,1.0,1.0,0.0
2025-10-26,Denver Nuggets,Phoenix Suns,22,-6.0,-27.0,0.0,0.48267825516781476,0.0,0.5,131.0,110.68820859302066,137.0,122.7251826828184,-6.0,-12.036974089797738,-6.0,-6.0,-6.0,-11.5,-11.5,-11.5,0.0,0.0,0.5,0.5,131.0,137.0,111.0,122.5,1,0.0,0.0,1.0,2.0,0.0
2025-10-25,Atlanta Hawks,Oklahoma City Thunder,-17,-20.0,6.0,0.5173217448321853,1.0,0.5,1.0,114.3787477861747,141.0,121.96302591020226,135.0,-7.584278124027563,6.0,-8.0,-8.0,-8.0,6.0,6.0,6.0,0.5,0.5,1.0,1.0,114.5,122.5,141.0,135.0,-1,0.0,0.0,2.0,1.0,0.0
2025-10-25,Orlando Magic,Chicago Bulls,-12,-0.13857395865748204,4.0,0.48267825516781476,1.0,0.5,1.0,115.68820859302068,115.0,115.82678255167815,111.0,-0.13857395865747435,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.5,0.5,1.0,1.0,116.0,116.0,115.0,111.0,-1,0.0,0.0,2.0,1.0,0.0
2025-10-25,Philadelphia 76ers,Charlotte Hornets,4,1.0,19.0,1.0,1.0,1.0,1.0,117.0,136.0,116.0,117.0,1.0,19.0,1.0,1.0,1.0,19.0,19.0,19.0,1.0,1.0,1.0,1.0,117.0,116.0,136.0,117.0,0,0.0,0.0,1.0,1.0,0.0
2025-10-26,Memphis Grizzlies,Indiana Pacers,25,-13.658226303623039,-6.0,0.48267825516781476,0.0,0.5,0.0,120.75749557234941,135.0,134.41572187597245,141.0,-13.658226303623039,-6.0,-13.0,-13.0,-13.0,-6.0,-6.0,-6.0,0.5,0.5,0.0,0.0,121.0,134.0,135.0,141.0,-2,0.0,0.0,2.0,1.0,0.0
2025-10-27,LA Clippers,Portland Trail Blazers,7,27.0,8.415721875972446,0.5173217448321853,0.5173217448321853,0.5,0.5,118.8637566414759,126.93304362080463,115.032312889531,118.51732174483219,3.831443751944903,8.415721875972437,3.0,3.0,3.0,8.0,8.0,8.0,0.5,0.5,0.5,0.5,118.5,115.5,126.5,118.5,0,0.0,0.0,2.0,2.0,0.0
2025-10-26,San Antonio Spurs,Brooklyn Nets,11,17.99766939986663,-19.0,1.0,0.0,1.0,0.0,122.41339127583907,120.62125221382529,104.41572187597244,133.41339127583907,17.997669399866638,-12.792139062013788,18.5,18.5,18.5,-13.0,-13.0,-13.0,1.0,1.0,0.0,0.0,122.5,104.0,120.5,133.5,-1,0.0,0.0,2.0,2.0,0.0
2025-10-27,Sacramento Kings,Los Angeles Lakers,-7,1.0,18.0,0.5173217448321853,1.0,0.5,1.0,110.30946080684596,128.0,111.72285208268502,110.0,-1.4133912758390608,18.0,-1.5,-1.5,-1.5,18.0,18.0,18.0,0.5,0.5,1.0,1.0,110.5,112.0,128.0,110.0,0,0.0,0.0,2.0,1.0,0.0
2025-10-26,Miami Heat,New York Knicks,8,14.62358281395867,9.03464348966437,0.5173217448321853,1.0,0.5,1.0,133.93304362080463,111.75749557234941,119.30946080684596,102.72285208268504,14.623582813958663,9.034643489664376,14.0,14.0,14.0,9.0,9.0,9.0,0.5,0.5,1.0,1.0,133.5,119.5,112.0,103.0,-1,0.0,0.0,2.0,2.0,0.0
2025-10-26,Minnesota Timberwolves,Indiana Pacers,4,-7.381078386308076,-6.0,0.48267825516781476,0.0,0.5,0.0,113.86142604134251,135.0,121.24250442765059,141.0,-7.381078386308076,-6.0,-7.0,-7.0,-7.0,-6.0,-6.0,-6.0,0.5,0.5,0.0,0.0,114.0,121.0,135.0,141.0,-2,0.0,0.0,2.0,1.0,0.0
2025-10-26,Detroit Pistons,Boston Celtics,6,0.13857395865748204,-10.0,0.5173217448321853,0.0,0.5,0.0,113.06928697932874,105.13624335852411,112.93071302067126,110.79213906201377,0.13857395865747435,-5.655895703489662,0.0,0.0,0.0,-5.5,-5.5,-5.5,0.5,0.5,0.0,0.0,113.0,113.0,105.5,111.0,-1,0.0,0.0,2.0,2.0,0.0
2025-10-26,Washington Wizards,Charlotte Hornets,-26,-1.1015998688597395,-4.0,0.5173217448321853,0.48267825516781476,0.5,0.5,118.44803476550344,128.24017382751722,119.54963463436317,121.13857395865747,-1.1015998688597364,7.101599868859751,-1.5,-1.5,-1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,118.5,120.0,128.5,121.0,0,0.0,0.0,2.0,2.0,0.0
2025-10-26,Cleveland Cavaliers,Milwaukee Bucks,5,-0.2401738275172212,6.0,0.5173217448321853,1.0,0.5,1.0,121.34643489664371,127.30946080684596,121.58660872416094,117.93071302067125,-0.24017382751722494,9.378747786174713,-0.5,-0.5,-0.5,9.5,9.5,9.5,0.5,0.5,1.0,1.0,121.0,121.5,127.5,118.0,0,0.0,0.0,2.0,2.0,0.0
2025-10-26,Dallas Mavericks,Toronto Raptors,10,-21.101599868859743,20.0,0.0,0.48267825516781476,0.0,0.5,99.75982617248278,126.61892161369192,120.86142604134253,120.06928697932874,-21.10159986885975,6.549634634363187,-21.5,-21.5,-21.5,7.0,7.0,7.0,0.0,0.0,0.5,0.5,99.5,121.0,127.0,120.0,-1,0.0,0.0,2.0,2.0,0.0
2025-10-28,Los Angeles Lakers,Portland Trail Blazers,-14,18.0,-7.0,1.0,0.33280013714176887,1.0,0.3333333333333333,127.48267825516781,119.82319894132533,115.17321744832185,116.90605471587384,12.309460806845962,2.9171442254514943,12.5,12.5,12.5,3.0,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,127.5,115.0,120.0,117.0,0,0.0,0.0,2.0,3.0,0.0
2025-10-27,Philadelphia 76ers,Orlando Magic,12,4.0,-4.36938278220594,1.0,0.31051350754124435,1.0,0.3333333333333333,121.13857395865747,109.37906593788951,118.58660872416093,113.74844872009545,2.5519652344965493,-4.369382782205946,2.5,2.5,2.5,-4.0,-4.0,-4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,121.0,118.5,110.0,114.0,0,0.0,0.0,2.0,3.0,0.0
2025-10-28,Utah Jazz,Phoenix Suns,4,21.0,-24.413391275839075,0.48267825516781476,0.31051350754124435,0.5,0.3333333333333333,116.06695637919536,110.7994203335953,106.44803476550345,126.39006982323177,9.61892161369191,-15.590649489636476,10.0,10.0,10.0,-15.0,-15.0,-15.0,0.5,0.5,0.3333333333333333,0.3333333333333333,116.5,106.5,111.0,126.0,1,0.0,0.0,2.0,3.0,0.0
